acgme_id,rise_program_id,program_name,state,kind,locus,detail,handling,adversarially_validated
1804800001,RISE-NEURO-0247,University of Texas at Austin Dell Medical School/Ascension Seton Medical Center Program,TX,CONFLICT,domain:7_yog_limit,Registry value 5 CONFIRMED as a faithful copy of FREIDA but the registry has no field to capture that the program itself publishes 3 for IMGs. Classed CONFLICT rather than SUPERSEDED because the two sources may be answering different questions.,Preserve both readings; do not project a single value,NO
1804800001,RISE-NEURO-0247,University of Texas at Austin Dell Medical School/Ascension Seton Medical Center Program,TX,CONFLICT,domain:10_deadline_signaling,"Two conflicts preserved: registry deadline vs program deadline, and FREIDA in-person vs program virtual. The 8-signal arithmetic across the twin codes is the single most actionable strategic output of this dossier.",Preserve both readings; do not project a single value,NO
1804800001,RISE-NEURO-0247,University of Texas at Austin Dell Medical School/Ascension Seton Medical Center Program,TX,CONFLICT,domain:15_core_faculty,"REGISTRY DEFECT CONFIRMED exactly as the contract predicted: 'Program Faculty Count: 0', 'Faculty Resident Ratio: 0.00:1' and 'Faculty Distribution: Physicians: 0; non-physicians: 0' are FREIDA null sentinels written as zero against a real faculty of at least 30. Classed SEMANTIC_MISMATCH and superseded. I am NOT resolving 30 vs 100+ - both are official and they answer different questions.",Preserve both readings; do not project a single value,NO
1804800001,RISE-NEURO-0247,University of Texas at Austin Dell Medical School/Ascension Seton Medical Center Program,TX,CONFLICT_PRESERVED,conflicts[0],"STROKE CENTER DESIGNATION AT MY PROGRAM'S NAMESAKE HOSPITAL. Dell Med's own Vascular Neurology Fellowship page describes Ascension Seton Medical Center Austin as a '447-bed' facility that is a 'primary plus thrombectomy-capable stroke center with robust cardiology services', reserving 'Comprehensive Stroke Center' and 'Level 1 trauma center' for the 211-bed Dell Seton Medical Center. Ascension's own hospital page for Ascension Seton Medical Center Austin calls it a 'Comprehensive Level 1 Stroke Center' with the American Heart Association 'Stroke Gold Plus, Target Stroke Honor Roll' award. A third source reports 391 beds and Joint Commission comprehensive stroke certification. The most likely reconciliation is that Texas operates a state stroke-facility designation ('Level I Comprehensive') that is distinct from Joint Commission Comprehensive Stroke Center certification, and that the two pages are quoting different schemes; the bed discrepancy (447 vs 391) may reflect licensed versus staffed beds. I have not resolved it. This matters for the twin-program question because it is one of the few genuine clinical differences between the two named sites: Dell Seton is the region's Comprehensive Stroke Center and holds the Level IV epilepsy monitoring unit and Austin's first neuro-ICU, while Ascension Seton Medical Center Austin is the larger general hospital with the stronger cardiology and obstetric case mix.",Preserve; do not resolve,NO
1804800001,RISE-NEURO-0247,University of Texas at Austin Dell Medical School/Ascension Seton Medical Center Program,TX,CONFLICT_PRESERVED,conflicts[1],"YEAR-OF-GRADUATION LIMIT: 3 YEARS OR 5 YEARS. The program's Application Details page states, inside its International Medical Graduates block, 'Graduated from medical school within the past three years', and its FAQ repeats 'Is there a ""time since graduation"" cutoff? How many years? Yes, three years.' FREIDA survey_2026 for the same ACGME ID reports field_years_since_graduation = 5 with field_years_since_graduation_na = false and no graduate-type qualifier, and the registry faithfully copied that 5. The likeliest reading is that 5 is the program's general administrative answer to the AMA and 3 is the tighter rule it actually applies to IMGs, but the program never says so. Preserved unresolved. Non-binding for Alejandra, who will be zero years out.",Preserve; do not resolve,NO
1804800001,RISE-NEURO-0247,University of Texas at Austin Dell Medical School/Ascension Seton Medical Center Program,TX,CONFLICT_PRESERVED,conflicts[2],"INTERVIEW FORMAT: VIRTUAL OR IN PERSON. The program's own page is unambiguous: 'Interviews are held virtually most Tuesdays from late October through December', with 'an optional in-person second look at the end of the application cycle prior to rank list submission'. FREIDA survey_2026 reports field_interview_type = 1 and field_video_interview = false, i.e. in person, and the registry carried 'Applicant Interview Format: In Person' and 'Interview Style: In Person'. I favour the program's own page but record both; the practical answer for Alejandra is that she should plan on a virtual interview day finishing by 12:30-1 p.m. Central plus an optional self-funded in-person second look, which is cheap given Austin is a 2.5-3 hour drive from Houston.",Preserve; do not resolve,NO
1804800001,RISE-NEURO-0247,University of Texas at Austin Dell Medical School/Ascension Seton Medical Center Program,TX,CONFLICT_PRESERVED,conflicts[3],"APPLICATION DEADLINE: OCTOBER 15 OR DECEMBER 15. The program states 'Applications for each academic year are accepted until October 15' with extensions available on request to the coordinators. The registry carried 'Application Deadline: 2025-12-15'. This is not merely one cycle stale - it is two months later than the program's own published cutoff, so acting on the registry value would risk a missed deadline. The program's date governs.",Preserve; do not resolve,NO
1804800001,RISE-NEURO-0247,University of Texas at Austin Dell Medical School/Ascension Seton Medical Center Program,TX,CONFLICT_PRESERVED,conflicts[4],"FACULTY SIZE: 30 OR 'OVER 100'. FREIDA survey_2026 reports field_total_physician = 30 and field_ratio_ft_faculty = '1.90' for ACGME 1804800001. The Directors' Welcome, signed by my own program director and the department chair, states 'Our growing neurology faculty, currently over 100 members'. These are almost certainly different denominators - program-attributed physician faculty versus the entire Dell Med Department of Neurology including child neurology, PM&R, neuropsychology and PhD researchers across the Mulva Clinic - but neither source defines its scope, so I report both. The registry's 'Program Faculty Count: 0' and 'Faculty Resident Ratio: 0.00:1' are FREIDA null sentinels rendered as zero and are wrong under any reading.",Preserve; do not resolve,NO
1804800001,RISE-NEURO-0247,University of Texas at Austin Dell Medical School/Ascension Seton Medical Center Program,TX,CONFLICT_PRESERVED,conflicts[5],"PGY-1 SALARY: $69,528 OR $69,582. The Dell Med GME salary and benefits page publishes the AY2026-2027 PGY-1 rate as $69,528; FREIDA survey_2026 field_first_year_salary reports 69582 and field_graduate_year_statistics leads with 69582. The PGY-2, PGY-3 and PGY-4 figures ($71,747 / $74,652 / $77,629) match to the dollar across both sources, which isolates the discrepancy to a single transposed digit in one of the two. A $54 difference is immaterial to any decision but is recorded rather than silently smoothed.",Preserve; do not resolve,NO
1804800001,RISE-NEURO-0247,University of Texas at Austin Dell Medical School/Ascension Seton Medical Center Program,TX,CONFLICT_PRESERVED,conflicts[6],"NMSS DESIGNATION OF THE MS CENTER - I CHALLENGE THE SIBLING AGENT'S WAVE-1 FINDING. The sibling reported that MS/neuroimmunology at the Austin program is anchored by an 'NMSS-designated center'. I could not substantiate that claim from any official source. I fetched the UT Medicine Multiple Sclerosis and Neuroimmunology Center clinic page, the parent Mulva Clinic for the Neurosciences page and the UT Medicine multiple sclerosis conditions page and searched all three raw HTML documents for 'National Multiple Sclerosis', 'Partner in', 'Center for Comprehensive', 'designat' and 'recogni'. None of those pages carries any NMSS designation language whatsoever. The only NMSS link I could verify is that Leorah Freeman, M.D., Ph.D. is 'medical director and creator of the Moving Stronger program, a unique exercise program developed in collaboration with the YMCA and the Texas chapter of the National Multiple Sclerosis Society' - a program collaboration, not a center designation. I believe the likely origin of the claim is a 2014 article headlined 'UT Medicine Multiple Sclerosis Clinic Selected As MS Partner In Care', which concerns UT Medicine SAN ANTONIO, an entirely different institution that shares the 'UT Medicine' brand string that Dell Med's clinical practice recently adopted when uthealthaustin.org began redirecting to utmedicine.org. This correction does NOT weaken the MS finding - the center, the five named MS faculty and the fact that my program director and one associate program director are both MS neuroimmunologists are all solidly verified. It corrects only the designation claim.",Preserve; do not resolve,NO
