acgme_id,source_subject_id,canonical_program_id,program_specialty_id,program_name,city,state,domain_count,claim_count,provider,campaign_id,source_sha256
1804800001,rise_prg_29678d8e-5ae8-53e2-976b-4cbc89ea2764,rise_prg_55aef9bb-2343-5e70-ac51-dbfe3f77217e,rise_ps_738166cd-d2b1-5648-9e10-9b3b7281221e,University of Texas at Austin Dell Medical School/Ascension Seton Medical Center Program,Austin,TX,26,36,CLAUDE_OPUS,P1-RISE-ALEJANDRA-NEURO-TX-OPUS5-STAGEB-007,76a141b4ee8b594b2c711e23ab6e9100c1b8a3ae3db464bdd7aa90553b799078
1804800004,rise_prg_6afb7ada-28af-572b-a5d2-39fc08f391c1,rise_prg_8f0e0b90-3727-5ce6-8c23-7359671e5144,rise_ps_2017d704-6e01-52e2-b93e-ffce8f2fadd6,University of Texas Health Science Center at Tyler Program,Tyler,TX,26,35,CLAUDE_OPUS,P1-RISE-ALEJANDRA-NEURO-TX-OPUS5-STAGEB-007,5b69a9ce95148c9ae80e2e4e0cadb8399bb90a33c3c3193ec076bbb1eb9e2bc2
1804800005,rise_prg_30de3c18-4c83-5325-b915-5042e73d4858,rise_prg_0e107bbe-f0a6-5e94-a007-d796c299bc80,rise_ps_51361c77-e1d0-5a8e-bcff-6d94214463d0,"Doctors Hospital At Renaissance, Ltd. Program",Edinburg,TX,26,37,CLAUDE_OPUS,P1-RISE-ALEJANDRA-NEURO-TX-OPUS5-BENCH-006A,59eecbb46f98d78f1141fffcb940fb8df02fc0fe71173cebfd01f04a1a384d8d
1804800006,rise_prg_0fc022fa-cc21-5cab-af7a-16d6c98afc20,rise_prg_6f02fc3a-1883-52d8-b10a-9fd9504af0e7,rise_ps_9409dcff-5112-5e90-a07e-d3f97a1a1a3b,Baylor University Medical Center Program,Dallas,TX,26,34,CLAUDE_OPUS,P1-RISE-ALEJANDRA-NEURO-TX-OPUS5-STAGEB-007,70b1c9e45738e22987fc559eb3c73753fc486a1eff2dcb1e6f6f8d26b8f31bfd
1804800167,rise_prg_ba823f16-f20f-5c97-beb5-f45e3382124e,rise_prg_76189696-ac38-5447-a2c3-910da92f3d3b,rise_ps_48876174-57e6-580b-bd43-01a63f9dbb09,Baylor Scott & White Medical Center - Baylor College of Medicine (Temple) Program,Temple,TX,26,35,CLAUDE_OPUS,P1-RISE-ALEJANDRA-NEURO-TX-OPUS5-STAGEB-007,c1eebc0de4d3d2f72e7541687ed9f74d3a3d4db4a7e4726e567a748d866c71f2
1804800168,rise_prg_2b93b72b-c770-5388-bfbb-46383a282772,rise_prg_cbd0eb7b-187f-527d-89d5-31dbec6f32d5,rise_ps_0402edd6-879b-5ab3-bf80-4ea7e3447ca1,Texas Tech University HSC El Paso Program,El Paso,TX,26,34,CLAUDE_OPUS,P1-RISE-ALEJANDRA-NEURO-TX-OPUS5-STAGEB-007,2ca73b81c0f57d3424d4b8f54b83c3758cfca1ff425c9cfd86a1a7ac3ed57fa6
1804800169,rise_prg_7d5854e2-58bf-5e1e-a38a-0523dcbbd1d0,rise_prg_0037ced4-857d-5a50-86e2-bfe669b52c6c,rise_ps_8b3dbfd8-a15d-5fe5-8f99-b766cbb8bba2,University of Texas Rio Grande Valley Program,Harlingen,TX,26,35,CLAUDE_OPUS,P1-RISE-ALEJANDRA-NEURO-TX-OPUS5-BENCH-006A,2c868e7aae62d5f9405524ffa349f35f2815b39e09f39356e9ea166077b0f667
1804811109,rise_prg_b327c0d9-d6b3-533e-81b9-166492563f09,rise_prg_71680484-bd06-587b-ac72-196b97a443a1,rise_ps_a09d3b95-13e0-524c-8c8c-cc3df2f39ac9,University of Texas Medical Branch Hospitals Program,Galveston,TX,26,38,CLAUDE_OPUS,P1-RISE-ALEJANDRA-NEURO-TX-OPUS5-STAGEB-007,069598af1f6773452ad0c5c816f830a9aaa15c3dcf6ffcca3b76343c71f6bb49
1804812156,rise_prg_feeea252-6455-59a5-9768-021f8f69dfef,rise_prg_9e5d99da-1642-581a-bbaf-3a75881913ac,rise_ps_eda10cec-2f00-5073-b808-e9a185c6fcc1,University of Texas at Austin Dell Medical School/Dell Seton Medical Center Program,Austin,TX,26,37,CLAUDE_OPUS,P1-RISE-ALEJANDRA-NEURO-TX-OPUS5-STAGEB-007,2baad5c1039b92ee340faa6480ad4742cd0292191670d20a35a7e57b44c5a77c
1804812160,rise_prg_dee34c22-a95c-535c-8696-ab0f50ff9aa2,rise_prg_9c1907e3-e518-5699-8ff8-22a8932a7258,rise_ps_c4146906-4b5a-5197-ac77-274de6ebb775,Houston Methodist Hospital (Medical Center) Program,Houston,TX,26,38,CLAUDE_OPUS,P1-RISE-ALEJANDRA-NEURO-TX-OPUS5-BENCH-006A,29df9f211ec21567c0ed6770f0ad45866314eb519e0bdeea2dd27297df040e8d
